Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2015 [YR2015]
International migrant stock (% of population),SM.POP.TOTL.ZS,Argentina,ARG,5.04103912832794,4.15630021847427,4.38095838778833,4.80529233472193
International migrant stock (% of population),SM.POP.TOTL.ZS,Australia,AUS,23.1341364316472,22.9559448399982,26.5443142431553,28.2184096915625
International migrant stock (% of population),SM.POP.TOTL.ZS,Canada,CAN,15.6649883379774,17.9530044114855,20.5450110095849,21.801663648343
International migrant stock (% of population),SM.POP.TOTL.ZS,Fiji,FJI,1.82302031494896,1.56787960893614,1.55252851321934,1.54134137387981
International migrant stock (% of population),SM.POP.TOTL.ZS,France,FRA,10.3563845150594,10.572513601125,11.430036776973,12.0884793768866
International migrant stock (% of population),SM.POP.TOTL.ZS,Ireland,IRL,6.39781696082014,9.12521794451962,15.8217274297246,15.9169365666588
International migrant stock (% of population),SM.POP.TOTL.ZS,Japan,JPN,0.879862814739571,1.34158324270085,1.67621294290106,1.61477505702794
International migrant stock (% of population),SM.POP.TOTL.ZS,Italy,ITA,2.50531433742571,3.71267956800803,9.71318439967291,9.6807677420957
International migrant stock (% of population),SM.POP.TOTL.ZS,New Zealand,NZL,15.2477355634999,17.5938784428316,21.6854462103347,22.95970035283
International migrant stock (% of population),SM.POP.TOTL.ZS,South Africa,ZAF,3.16328513549544,2.23139232733802,3.76412049577547,5.76709044891315
International migrant stock (% of population),SM.POP.TOTL.ZS,Tonga,TON,3.05931562132167,3.76310036977262,4.83130826286473,5.39794668927192
International migrant stock (% of population),SM.POP.TOTL.ZS,United States,USA,9.19566042513874,12.3063192386484,14.2584836388032,14.4906535240608
International migrant stock (% of population),SM.POP.TOTL.ZS,United Kingdom,GBR,6.39166261907676,8.03534183597997,12.1252950809708,13.200978246274
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 02/01/2017,,,,,,,
